"192.168.178.28",49731,"20.54.37.73",443,5,1343,47,0,0,3,657,2,686,139.986884,0.15518000000000143,33870,35365
"192.168.178.28",49938,"192.168.178.1",49000,13,4627,48,0,0,6,534,7,4093,140.156621,0.08945099999999684,47757,366055
"192.168.178.28",49941,"20.190.160.23",443,32,25674,49,0,0,13,6254,19,19420,140.268887,0.3977739999999983,125779,390573
"192.168.178.28",49942,"13.107.213.60",443,31,10729,50,0,0,13,2854,18,7875,140.708405,0.5263840000000073,43375,119684
"192.168.178.28",49943,"13.89.179.10",443,38,17716,51,0,0,21,8499,17,9217,141.390074,66.40450899999999,1023,1110
"192.168.178.28",49945,"20.223.237.241",443,28,8966,52,0,0,15,1437,13,7529,144.524939,109.92516700000002,104,547
"192.168.178.28",49946,"20.190.160.23",443,34,24262,53,0,0,15,6416,19,17846,144.849633,0.35509199999998486,144548,402059
"192.168.178.28",49947,"2.20.201.7",443,89,77359,54,0,0,30,2488,59,74871,144.858466,109.57547200000002,181,5466
"192.168.178.28",49949,"52.113.194.132",443,19,8899,55,0,0,7,1020,12,7879,145.229402,66.94028400000002,121,941
"192.168.178.28",49948,"20.73.194.208",443,28,11274,56,0,0,14,3070,14,8204,145.231598,0.3230259999999987,76031,203178
"104.42.50.130",443,"192.168.178.28",49891,5,1085,57,0,0,2,237,3,848,182.923848,30.199520000000007,62,224
"192.168.178.28",49950,"100.25.107.254",443,135,108799,58,0,0,66,73105,69,35694,198.149706,186.81515,3130,1528
"192.168.178.28",49951,"100.25.107.254",443,21,7333,59,0,0,10,1197,11,6136,198.258113,92.57162600000001,103,530
"192.168.178.28",49952,"151.99.51.172",443,18,6574,60,0,0,8,1026,10,5548,204.180135,86.53853199999998,94,512
"192.168.178.28",49953,"151.99.51.172",443,18,6574,61,0,0,8,1026,10,5548,204.180466,86.53820099999999,94,512
"192.168.178.28",49954,"142.251.209.10",443,25,9742,62,0,0,13,1404,12,8338,204.988087,85.73375199999998,131,778
"192.168.178.28",49955,"13.89.179.10",443,24,12247,63,0,0,13,4777,11,7470,207.61856,8.033017999999998,4757,7439
"192.168.178.28",49956,"104.208.16.88",443,24,11162,64,0,0,13,3095,11,8067,230.907928,5.860805999999997,4224,11011
"192.168.178.28",49957,"151.99.51.174",443,18,6575,65,0,0,8,1027,10,5548,242.545051,105.06967700000001,78,422
"192.168.178.28",49958,"142.250.184.78",443,19,7027,66,0,0,9,1092,10,5935,247.85442,135.24432000000002,64,351
"192.168.178.28",49959,"142.251.209.46",443,19,7024,67,0,0,9,1092,10,5932,247.869459,135.22928100000001,64,350
"192.168.178.28",49960,"192.168.178.1",80,11,2672,68,0,0,6,464,5,2208,288.457371,0.0722449999999526,51380,244501
"192.168.178.28",49961,"142.250.184.78",443,64,49905,69,0,0,24,2853,40,47052,290.719536,90.283546,252,4169
